Input,Generated Gloss
concerning dangers from foreign force and influence for the independent journal,CONCERN DANGER FROM DESC-FOREIGN FORCE AND INFLUENCE FOR DESC-INDEPENDENT JOURNAL
to the people of the state of new york it is not a new observation that the people of any country if like the americans intelligent and wellinformed seldom adopt and steadily persevere for many years in an erroneous opinion respecting their interests,TO PEOPLE STATE NEW YORK IT BE DESC-NOT DESC-NEW OBSERVATION THAT PEOPLE ANY COUNTRY IF LIKE AMERICAN DESC-INTELLIGENT AND DESC-WELLINFORMED DESC-RARELY ADOPT AND DESC-STEAGERLY PERSIST FOR DESC-MANY YEAR IN DESC-ERRONEOUS OPINION RESPECT X-Y INTEREST
that consideration naturally tends to create great respect for the high opinion which the people of america have so long and uniformly entertained of the importance of their continuing firmly united under one federal government vested with sufficient powers for all general and national purposes,THAT CONSIDERATION DESC-NATURALLY TEND TO CREATE DESC-GREAT RESPECT FOR DESC-HIGH OPINION WHICH PEOPLE AMERICA HAVE DESC-SO DESC-LONG AND DESC-UNIFORMLY ENTERTAIN IMPORTANCE X-Y CONTINUE DESC-FIRMLY UNITE UNDER ONE DESC-FEDERAL GOVERNMENT VESTER WITH DESC-SUFFICIENT POWER
the more attentively i consider and investigate the reasons which appear to have given birth to this opinion the more i become convinced that they are cogent and conclusive,MORE DESC-ATTENTIVELY X-I CONSIDER AND INVESTIGATE REASON WHICH APPEAR TO HAVE GIVE BIRTH TO THIS OPINION MORE X-I BECOME CONVINCE THAT X-Y BE DESC-COGENENT AND DESC-CONCLUSIVE
among the many objects to which a wise and free people find it necessary to direct their attention that of providing for their safety seems to be the first,AMONG DESC-MANY OBJECT TO WHICH DESC-WISE AND DESC-FREE PEOPLE FIND X-IT DESC-NECESSARY TO DESC-DIRECT X-Y ATTENTION THAT PROVIDE FOR X-Y SAFETY SEEM TO BE DESC-FIRST
the safety of the people doubtless has relation to a great variety of circumstances and considerations and consequently affords great latitude to those who wish to define it precisely and comprehensively,SAFETY PEOPLE DESC-DOUBLELESS HAVE RELATION TO DESC-GREAT VARIOUSITY CIRCUMSTANCE AND CONSIDERATION AND DESC-CONSEQUENTLY AFFORD DESC-GREAT LATITUDE TO THOSE WHO WISH TO DEFINE X-IT DESC-PRECISELY AND DESC-COMPREHENSIVELY
at present i mean only to consider it as it respects security for the preservation of peace and tranquillity as well as against dangers from foreign arms and influence as from dangers of the like kind arising from domestic causes,AT DESC-PRESENT X-I MEAN DESC-ONLY TO CONSIDER X-IT AS X-IT RESPECT SECURITY FOR PRESERVATION PEACE AND TRANSITIONALITY AS DESC-WELL AS AGAINST DANGER FROM DESC-FOREIGN ARM AND INFLUENCE AS FROM DANGER LIKE KIND ARISE FROM DESC-DOMESTIC CAUSE
as the former of these comes first in order it is proper it should be the first discussed,AS DESC-FORMER SE COME DESC-FIRST IN ORDER IT BE DESC-PROPER X-IT SHOULD BE DESC-FIRST DISCUSSION
let us therefore proceed to examine whether the people are not right in their opinion that a cordial union under an efficient national government affords them the best security that can be devised against hostilities from abroad,LET X-WE DESC-REFORE PROCEED TO EXAMINE WHER PEOPLE BE DESC-NOT DESC-RIGHT IN X-Y OPINION THAT DESC-CODIAL UNION UNDER DESC-EFFICIENT DESC-NATIONAL GOVERNMENT AFFORD X-Y DESC-BEST SECURITY THAT CAN BE DEVISE AGAINST HOSTILITY FROM DESC-ABROAD
the number of wars which have happened or will happen in the world will always be found to be in proportion to the number and weight of the causes whether real or pretended which provoke or invite them,NUMBER WAR WHICH HAVE HAPPEN OR WILL HAPPEN IN WORLD WILL DESC-ALWAYS BE FIND TO BE IN PROPORTION TO NUMBER AND WEIGHT CAUSE WHER DESC-REAL OR PRETEND WHICH PROVOKE OR INVITE X-Y
the just causes of war for the most part arise either from violation of treaties or from direct violence,DESC-JUST CAUSE WAR FOR MOST PART ARISE EIR FROM VIOLATION TREATY OR FROM DESC-DIRECT VIOLENCE
america has already formed treaties with no less than six foreign nations and all of them except prussia are maritime and therefore able to annoy and injure us,AMERICA HAVE DESC-ALREADY FORCE TREATY WITH NO DESC-LESS THAN SIX DESC-FOREIGN NATION AND ALL X-Y EXCEPT PRUSSIUM BE MARITIME AND DESC-REFORE DESC-ABLE TO ANNOY AND INJURE X-WE
she has also extensive commerce with portugal spain and britain and with respect to the two latter has in addition the circumstance of neighborhood to attend to,X-SHE HAVE DESC-ALSO DESC-EXTENSIVE COMMERCE WITH PORTUGAL SPAIN AND BRITAIN AND WITH RESPECT TO TWO DESC-LATTER HAVE IN ADDITION COURSE NEIGHBORHOOD TO ATTEND TO
the wisdom of the convention in committing such questions to the jurisdiction and judgment of courts appointed by and responsible only to one national government can not be too much commended,WISDOM CONVENTION IN COMMIT DESC-SUCH QUESTION TO JURISDICTION AND JUDGMENT COURT APPOINT BY AND DESC-RESPONSIBLE DESC-ONLY TO ONE DESC-NATIONAL GOVERNMENT CAN DESC-NOT BE DESC-TOO DESC-MUCH COMMEND
the case of the treaty of peace with britain adds great weight to this reasoning,CASE TREATY PEACE WITH BRITAIN ADD DESC-GREAT WEIGHT TO THIS RELIGION
but the national government not being affected by those local circumstances will neither be induced to commit the wrong themselves nor want power or inclination to prevent or punish its commission by others,BUT DESC-NATIONAL GOVERNMENT DESC-NOT BE AFFECT BY THOSE DESC-LOCAL CIRCUMSTANCE WILL NEIR BE INDUCE TO COMMIT DESC-WRONG X-MSELVES NOR WANT POWER OR INTENTION TO PREVENT OR PUNISH X-ITS COMMISSION BY DESC-OR
as to those just causes of war which proceed from direct and unlawful violence it appears equally clear to me that one good national government affords vastly more security against dangers of that sort than can be derived from any other quarter,AS TO THOSE DESC-JUST CAUSE WAR WHICH PROCEED FROM DESC-DIRECT AND DESC-UNLAWFUL VIOLENCE X-IT APPEAR DESC-EQUALLY DESC-CLEAR TO X-I THAT ONE DESC-GOOD DESC-NATIONAL GOVERNMENT AFFORD DESC-VASTLY MORE SECURITY AGAINST DANGER THAT SORT THAN CAN BE DECEIVE FROM ANY DESC-
because such violences are more frequently caused by the passions and interests of a part than of the whole of one or two states than of the union,BECAUSE DESC-SUCH VIOLENCE BE MORE DESC-FREQUENTLY CAUSE BY PATH AND INTEREST PART THAN WHOLE ONE OR TWO STATE THAN UNION
the neighborhood of spanish and british territories bordering on some states and not on others naturally confines the causes of quarrel more immediately to the borderers,NORTHWEST SPARENCH AND BRITISH TERRITORY BORDER ON SOME STATE AND DESC-NOT ON DESC-OR DESC-NATURALLY CONTAIN CAUSE QUARREL MORE DESC-IMMEDIATELY TO BORDERER
but not only fewer just causes of war will be given by the national government but it will also be more in their power to accommodate and settle them amicably,BUT DESC-NOT DESC-ONLY DESC-FEWER DESC-JUST CAUSE WAR WILL BE GIVE BY DESC-NATIONAL GOVERNMENT BUT X-IT WILL DESC-ALSO BE MORE IN X-Y POWER TO ACCOMMODATE AND SIT X-Y DESC-AMICABLY
they will be more temperate and cool and in that respect as well as in others will be more in capacity to act advisedly than the offending state,X-Y WILL BE MORE DESC-TEMPERATE AND DESC-COLD AND IN THAT RESPECT AS DESC-WELL AS IN DESC-OR WILL BE MORE IN CAPACITY TO ACT DESC-ADVICEDLY THAN OFFEND STATE
the pride of states as well as of men naturally disposes them to justify all their actions and opposes their acknowledging correcting or repairing their errors and offenses,PRIDE STATE AS DESC-WELL AS MAN DESC-NATURALLY DISPOSE X-Y TO JUSTIFY ALL X-Y ACTION AND OPPOSE X-Y ACKNOWLEDGE CORRECT OR REPAIR X-Y ERROR AND OFFENCE
the national government in such cases will not be affected by this pride but will proceed with moderation and candor to consider and decide on the means most proper to extricate them from the difficulties which threaten them,DESC-NATIONAL GOVERNMENT IN DESC-SUCH CASE WILL DESC-NOT BE AFFECT BY THIS PRIDE BUT WILL PROCEED WITH MODERARATION AND CANDOR TO CONSIDER AND DECIDE ON MEANS MOST DESC-PROPER TO EXTRICATE X-Y FROM DIFFICULTY WHICH THREATEN X-Y
