Input,Target Gloss,Predicted Gloss
es ¡ bon dia !,BON DIUM,X-E BON DIA
there is every reason to welcome the proposal by the de larosière group .,DESC-RE BE EVERY REASON TO DESC-WELCOME PROPOSAL BY DE LAROSI?RE GROUP,DESC-RE BE EVERY REASON TO DESC-WELCOME PROPOSAL BY DE LARORISIERE GROUP
"of course , if bashir refuses , then he should be prosecuted with the full force of international law .",COURSE IF BASHIR REFUSE DESC-N X-HE SHOULD BE PROSECUTE WITH DESC-FULL FORCE DESC-INTERNATIONAL LAW,COURSE IF BASHIR REFUSE DESC-N X-HE SHOULD BE PROSECUTION WITH DESC-FULL FORCE DESC-INTERNATIONAL LAW
"furthermore , we have ensured that the international monetary fund has sufficient resources to meet demand for borrowing .",DESC-FURRMORE X-WE HAVE ENSURE THAT DESC-INTERNATIONAL DESC-MONETARY FUND HAVE DESC-SUFFICIENT RESOURCE TO MEET DEMAND FOR BORROWING,DESC-FURRMORE X-WE HAVE ENSURE THAT DESC-INTERNATIONAL DESC-MONETARY FUND HAVE DESC-SUFFICIENT RESOURCE TO MEET DEMAND FOR LOAN
a number of member states have introduced scrappage incentives to stimulate demand .,NUMBER MEMBER STATE HAVE INTRODUCE SCRAPPAGE INCENTIVE TO STIMULATE DEMAND,NUMBER MEMBER STATE HAVE INTRODUCE SCRAPPAGES INCENTIVE TO STIMULATE DEMAND
"since 1990 , approximately 6 000 companies valued at eur 700 billion have been privatised fraudulently .",SINCE 1990 DESC-APPROXIMATELY 6 000 COMPANY VALUE AT EUR 700 BILLION HAVE BE PRIVATISE DESC-FRAUDULENTLY,SINCE 1990 DESC-APPROXIMATELY 6 000 COMPANY VALUE AT EUR 700 BILLION HAVE BE PRIVATISE DESC-FRAUDILY
i believe in solar thermal energy but we addressed the most urgent needs .,X-I BELIEVE IN DESC-SOLAR DESC-RMAL ENERGY BUT X-WE ADDRESS MOST DESC-URGENT NEED,X-I BELIEVE IN DESC-Solar DESC-THERAL ENERGY BUT X-WE ADDRESS MOST DESC-URGENT NEED
"it whitewashes the responsibilities of the eu , which is complicit in the impunity of israel .",X-IT WHITEWASH RESPONSIBILITY EU WHICH BE COMPLICIT IN IMPUNITY ISRAEL,X-IT WASH RESPONSIBILITY EU WHICH BE COMPLICATE IN IMPUNITY ISRAEL
that is not a sensible course of action .,THAT BE DESC-NOT SENSIBLE COURSE ACTION,THAT BE DESC-NOT DESC-SENSIBLE COURSE ACTION
sakharov rethought the role of human rights and intellectual freedom in the modern world as far back as 196the two key components of resurgent russian citizenship were legal consciousness and historical memory .,SAKHAROV RETHINK ROLE DESC-HUMAN RIGHTS AND DESC-INTELLECTUAL FREEDOM IN DESC-MODERN WORLD AS DESC-FAR DESC-BACK AS 196 TWO KEY COMPONENT DESC-RESURGENT RUSSIAN CITIZENSHIP BE DESC-LEGAL CONSCIOUSNESS AND DESC-HISTORICAL MEMORY,SAKHAROV RETHOUGHT ROLE DESC-HUMAN RIGHTS AND DESC-INTELLECTUAL FREEDOM IN DESC-MODERN WORLD AS DESC-FAR DESC-BACK AS DESC-196TWO KEY COMPONENT DESC-RESURGENT RUSSIAN CITIZENSHIP BE DESC-LEGAL CONSCIENCE AND DESC-HISTORICAL MEMORY
we warned against the consequences of liberalising international trade in agri foodstuffs .,X-WE WARN AGAINST CONSEQUENCE LIBERALISE DESC-INTERNATIONAL TRADE IN AGRI FOODSTUFF,X-WE WARN AGAINST CONSEQUENCE LIBERALIZE DESC-INTERNATIONAL TRADE IN AGRI FOODSTUFF
president calderón's war on organised crime is its main priority .,N X-POSS WAR ON ORGANISE CRIME BE X-ITS DESC-MAIN PRIORITY,PRESIDENT CALDERNON X-POSS WAR ON ORGANISE CRIME BE X-ITS DESC-MAIN PRIORITY
non discrimination based on gender and inter generational solidarity,NON DISCRIMINATION BASE ON GENDER AND INTER DESC-GENERATIONAL SOLIDARITY,NON DISCRIMINATION BASE ON GENDER AND INTE DESC-GENERATIONAL SOLIDARITY
"citizens are looking with a negative eye on developments , which do not promise to be pleasing and satisfactory .",CITIZEN BE LOOK WITH DESC-NEGATIVE EYE ON DEVELOPMENT WHICH DO DESC-NOT PROMISE TO BE PLEASE AND DESC-SATISFACTORY,CITIZEN BE LOOK WITH DESC-NEGATIVE EYE ON DEVELOPMENT WHICH DO DESC-NOT PROMISE TO BE DESC-PLEASANT AND DESC-SATISFACTORY
it could help make the staple diet in the european union healthier .,X-IT COULD HELP MAKE STAPLE DIET IN EUROPEAN UNION HEALTHIER,X-IT COULD HELP MAKE STABILITE DIET IN EUROPEAN UNION DESC-HEALTHY
"you are presiding over 450 million citizens , not just a few politicians and officials .",X-YOU BE PRESIDE OVER 450 MILLION CITIZEN DESC-NOT DESC-JUST DESC-FEW POLITICIAN AND OFFICIAL,X-YOU BE PRESIDENCE OVER 450 MILLION CITIZEN DESC-NOT DESC-JUST DESC-FEW POLITICIAN AND OPERATOR
cows are becoming a rare commodity in northern kenya because of climate change .,COW BE BECOME DESC-RARE COMMODITY IN DESC-NORRN KENYA BECAUSE CLIMATE CHANGE,COW BE BECOME DESC-RARE COMMUNITY IN DESC-NORRN KENYA BECAUSE CLIMATE CHANGE
"germany , in particular , has already gone far beyond previous stipulations from brussels .",GERMANY IN DESC-PARTICULAR HAVE DESC-ALREADY GO DESC-FAR BEYOND DESC-PREVIOUS STIPULATION FROM BRUSSELS,GERMANY IN DESC-PARTICULAR HAVE DESC-ALREADY GO DESC-FAR BEYOND DESC-PREVIOUS STATUTORY FROM BRUSSELS
if the promised referendum looks unwinnable it is cancelled without apparent shame or embarrassment .,IF PROMISE REFERENDUM LOOK DESC-UNWINNABLE X-IT BE CANCEL WITHOUT DESC-APPARENT SHAME OR EMBARRASSMENT,IF PROMISE REFERENDUM LOOK DESC-UNWINNABLE X-IT BE CANCEL WITHOUT DESC-APPARENT SHAME OR EMBARASSMENT
we have a fisheries sector that is neither ecologically sustainable nor economically performing well .,X-WE HAVE FISHERY SECTOR THAT BE NEIR DESC-ECOLOGICALLY DESC-SUSTAINABLE NOR DESC-ECONOMICALLY PERFORM DESC-WELL,X-WE HAVE FISHERY SECTOR THAT BE NEIR DESC-ECOLOGICALLY DESC-SUSTAINABLE NOR DESC-ECONOMICLY PERFORM DESC-WELL
the european commission and the european parliament should regain their strategic role and go for brave european solutions .,EUROPEAN COMMISSION AND EUROPEAN PARLIAMENT SHOULD REGAIN X-Y DESC-STRATEGIC ROLE AND GO FOR BRAVE EUROPEAN SOLUTION,EUROPEAN COMMISSION AND EUROPEAN PARLIAMENT SHOULD REGAIN X-Y DESC-STRATEGIC ROLE AND GO FOR DESC-BRAVE EUROPEAN SOLUTION
the legitimacy of the iranian regime following the very dubious elections last june is questionable to say the least .,LEGITIMACY IRANIAN REGIME FOLLOW DESC-VERY DESC-DUBIOUS ELECTION DESC-LAST JUNE BE DESC-QUESTIONABLE TO SAY DESC-LEAST,LEGITIMITY IRANIAN REGIME FOLLOW DESC-VERY DESC-DUBIOUS ELECTION DESC-LAST JUNE BE DESC-QUESTIONABLE TO SAY DESC-LEAST
jobbik believes that it is possible to rid political life of corruption .,JOBBIK BELIEVE THAT X-IT BE DESC-POSSIBLE TO DESC-RID DESC-POLITICAL LIFE CORRUPTION,JOBBIK BELIEVE THAT X-IT BE DESC-POSSIBLE TO RIDE DESC-POLITICAL LIFE CORRUPTION
i would like to congratulate mr kallas warmly in this respect .,X-I WOULD LIKE TO CONGRATULATE MR KALLUM DESC-WARMLY IN THIS RESPECT,X-I WOULD LIKE TO CONGRATULATE MR KALLA DESC-WARMLY IN THIS RESPECT
"in short , mr bruguière said that the commitments have been honoured .",IN DESC-SHORT MR BRUGUI?RE SAY THAT COMMITMENT HAVE BE HONOR,IN DESC-SHORT MR BRUGUIER SAY THAT COMMITMENT HAVE BE HONOR
everyone knows that using the name macedonia without any prefixes will meet with insuperable objections from greece .,EVERYONE KNOW THAT USE NAME MACEDONIUM WITHOUT ANY PREFIX WILL MEET WITH DESC-INSUPERABLE OBJECTION FROM GREECE,EVERYONE KNOW THAT USE NAME MACEDONIUM WITHOUT ANY PREFILE WILL MEET WITH DESC-INSUPERABLE OBJECTION FROM GREECE
"firstly , the new statute for assistants , which is in place at long last following years of discussion .",DESC-FIRSTLY DESC-NEW STATUTE FOR ASSISTANT WHICH BE IN PLACE AT DESC-LONG DESC-LAST FOLLOW YEAR DISCUSSION,DESC-FIRSTLY DESC-NEW STATUTE FOR ASSOCIATE WHICH BE IN PLACE AT DESC-LONG DESC-LAST FOLLOW YEAR DISCUSSION
"i will not repeat these , but suffice to say , this is a major advance for consumers .",X-I WILL DESC-NOT REPEAT SE BUT SUFFICE TO SAY THIS BE DESC-MAJOR ADVANCE FOR CONSUMER,X-I WILL DESC-NOT REPEAT SE BUT SUFCE TO SAY THIS BE DESC-MAJOR ADVANCE FOR CONSUMER
"this accident was not due to a technical fault , either .",THIS ACCIDENT BE DESC-NOT DESC-DUE TO DESC-TECHNICAL FAULT EIR,THIS ACCIDENT BE DESC-NOT DESC-DUE TO DESC-TECHNICAL FAIL EIR
the situation is unstable in many ways .,SITUATION BE DESC-UNSTABLE IN DESC-MANY WAY,SITUATION BE DESC-INSTABLE IN DESC-MANY WAY
in writing . de conflict resolution for millions of uighurs in china dialogue not condemnation .,DE CONFLICT RESOLUTION FOR MILLION UIGHUR IN CHINA DIALOGUE DESC-NOT CONDEMNATION,DE CONFLICT RESOLUTION FOR MILLION UIGUR IN CHINA DIALOGUE DESC-NOT CONDEMNATION
"mr president , it is an immense honour for me to be here today for your debate .",MR PRESIDENT X-IT BE IMMENSE HONOR FOR X-I TO BE DESC-HERE TODAY FOR X-YOU DEBATE,MR PRESIDENT X-IT BE DESC-IMMENSE HONOR FOR X-I TO BE DESC-HERE TODAY FOR X-YOU DEBATE
today we are discussing the systematic abuse of workers in the diamond fields of zimbabwe by government security forces .,TODAY X-WE BE DISCUSS DESC-SYSTEMATIC ABUSE WORKER IN DIAMOND FIELD ZIMBABWE BY GOVERNMENT SECURITY FORCE,TODAY X-WE BE DISCUSS DESC-SYSTEMATIC ABUSE WORKER IN DIAMOND FIELD ZEMBABWE BY GOVERNMENT SECURITY FORCE
i am also against improper political divides in partisan terms .,X-I BE DESC-ALSO AGAINST DESC-IMPROPER DESC-POLITICAL DIVIDE IN DESC-PARTISAN TERM,X-I BE DESC-ALSO AGAINST DESC-IMPOSSIBLE DESC-POLITICAL DIVIDE IN DESC-PARTICULAR TERM
"there is no doubt that geographical location , distance from markets and other such factors create many difficulties .",DESC-RE BE NO DOUBT THAT GEOGRAPHICAL LOCATION DISTANCE FROM MARKET AND DESC-OR DESC-SUCH FACTOR CREATE DESC-MANY DIFFICULTY,DESC-RE BE NO DOUBT THAT DESC-GEOGRAPHICAL LOCATION DISTANCE FROM MARKET AND DESC-OR DESC-SUCH FACTOR CREATE DESC-MANY DIFFICULTY
